Model,MAE,MSE,RMSE,R2 Score
Random Forest,11011186.532151503,1528310025886979.8,39093605.94633066,0.9753300942907931
Decision Tree,18614215.92968738,4108808478466767.0,64099988.131564945,0.933675814446001
Linear Regression,48918842.58874193,9581108747315868.0,97883138.21754934,0.845342211081314
